buyer_id,median_gap_days,mean_gap_days,n_gaps,frequency_segment
2600412,4.0,12.043478260869565,23,high_freq
2600600,10.0,14.0,4,high_freq
2601197,7.0,9.4,5,high_freq
2601406,7.0,7.0,1,high_freq
271879,41.0,31.333333333333332,3,low_freq
272216,496.0,496.0,1,rare
272689,28.0,80.42857142857143,7,monthly_like
273107,953.0,953.0,1,rare
273304,171.0,171.0,2,rare
273340,7.0,10.533333333333333,15,high_freq
273392,452.5,452.5,2,rare
2745399,0.0,0.0,1,high_freq
2746988,0.0,0.0,1,high_freq
2747043,720.0,720.0,1,rare
2747927,14.0,15.0,3,high_freq
2748103,24.0,40.1764705882353,17,monthly_like
2748960,7.5,7.5,2,high_freq
2749511,237.0,237.0,1,rare
2751057,44.0,44.0,1,low_freq
2751260,6.5,17.285714285714285,28,high_freq
2751320,48.5,48.5,2,low_freq
2751391,19.0,19.0,2,monthly_like
275179,1039.0,1039.0,1,rare
2752524,180.5,180.5,2,rare
2752704,0.0,0.0,1,high_freq
2753025,184.0,184.0,1,rare
2753561,35.5,35.5,2,low_freq
2754042,96.5,156.0,4,rare
2754501,13.0,14.0,7,high_freq
2755551,112.5,112.5,2,rare
2756571,120.0,120.0,1,rare
2756700,10.0,10.0,1,high_freq
275826,201.5,206.5,4,rare
2758353,0.0,15.333333333333334,3,high_freq
2758463,0.0,0.0,1,high_freq
2758532,14.0,14.0,2,high_freq
2761792,24.5,24.5,2,monthly_like
2762335,0.0,0.0,1,high_freq
2763308,0.0,0.0,1,high_freq
2763338,51.0,123.6,5,low_freq
2763406,10.5,81.25,4,high_freq
2763904,7.5,9.55,20,high_freq
2765668,6.0,125.0,8,high_freq
2766253,351.0,351.0,2,rare
2766796,33.0,33.0,1,low_freq
2767260,8.0,29.542857142857144,35,high_freq
2767486,76.0,76.0,1,rare
2767770,64.0,68.0,5,rare
2767881,97.0,293.0,3,rare
2768601,0.0,6.076923076923077,13,high_freq
2768983,7.0,7.0,1,high_freq
2769413,561.0,561.0,1,rare
2769980,445.0,445.0,1,rare
2770401,15.0,15.0,1,monthly_like
2770485,19.5,19.5,2,monthly_like
2771227,934.0,934.0,1,rare
2771812,27.5,27.5,2,monthly_like
2773207,34.5,91.33333333333333,6,low_freq
2773211,48.0,48.0,1,low_freq
2773353,0.0,0.0,1,high_freq
2773644,33.5,53.8,10,low_freq
2773693,7.0,11.953488372093023,43,high_freq
2775950,57.0,56.9,10,low_freq
277607,136.0,136.0,1,rare
2776289,205.0,250.25,4,rare
2777899,3.0,12.6,5,high_freq
2779525,35.0,44.4,5,low_freq
2779867,0.0,0.0,1,high_freq
2782706,6.5,22.7,10,high_freq
2783535,23.0,27.333333333333332,6,monthly_like
2785650,7.0,8.666666666666666,3,high_freq
2788928,37.5,37.5,2,low_freq
2790176,59.0,59.0,2,low_freq
2790254,346.0,346.0,2,rare
2791154,100.0,197.33333333333334,3,rare
2792711,23.0,23.0,1,monthly_like
2792941,6.0,9.6,5,high_freq
2793017,8.0,84.27272727272727,11,high_freq
2793321,3.0,3.0,1,high_freq
2793600,241.0,241.0,1,rare
2793896,63.0,63.0,2,rare
279394,12.0,13.818181818181818,11,high_freq
2795450,223.0,194.66666666666666,3,rare
2795723,20.5,22.333333333333332,6,monthly_like
2797093,0.0,0.0,1,high_freq
2797599,8.0,39.46153846153846,13,high_freq
2798040,9.0,14.083333333333334,12,high_freq
2798111,14.0,18.5,6,high_freq
